Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
BATIDORA BRAUN MULTI QUICK 3,MQ3000WH,30.0,24.59,Batidoras,ALMCE,,,Storable Product,ALMCE_MQ3000WH
BATIDORA MOULINEX ,DD451110,29.0,25.84,Batidoras,ALMCE,,,Storable Product,ALMCE_DD451110
BATIDORA BOSCH/AMASADORA,MFQ36460,35.0,29.97,Batidoras,ALMCE,,,Storable Product,ALMCE_MFQ36460
BATIDORA MOULINEX CHEF 1000W,DD655D10,45.0,37.23,Batidoras,ALMCE,,,Storable Product,ALMCE_DD655D10
TOSTADOR VINTAGE AMARILLO,3208,45.0,31.38,,ALMCE,,,Storable Product,ALMCE_3208
TOSTADOR UFESA 700W,TT7963ACTIVA,35.0,18.18,,ALMCE,,,Storable Product,ALMCE_TT7963ACTIVA
"FREIDORA ORBEGOZO 1200W 2,5L",FDR27,59.0,41.02,,ALMCE,,,Storable Product,ALMCE_FDR27
"FREIDORA ORBEGOZO 2000W 3,5L",FDR35,59.0,40.78,,ALMCE,,,Storable Product,ALMCE_FDR35
"FREIDORA UFESA AIRE 1200W 3,5L",PANTHER,75.0,49.87,,ALMCE,,,Storable Product,ALMCE_PANTHER
PICADORA MOULINEX,AD560120,55.0,37.62,,ALMCE,,,Storable Product,ALMCE_AD560120
OLLA CLASICA ORBEGOZO INOX,HPL8070,69.0,49.18,,ALMCE,,,Storable Product,ALMCE_HPL8070
CORTAPELOS CECOTEC,4232,16.0,10.88,,ALMCE,,,Storable Product,ALMCE_4232
BÁSCULA BAÑO ORBEGOZO,PB2217,18.0,12.19,,ALMCE,,,Storable Product,ALMCE_PB2217
EXPRIMIDOR JATA,EX296,19.0,12.57,,ALMCE,,,Storable Product,ALMCE_EX296
CORTAPELOS CECOTEC BAMBA 5EN1,4229,29.0,18.46,,ALMCE,,,Storable Product,ALMCE_4229
BÁSCULA BAÑO ROWENTA,BS1503V0,25.0,17.51,,ALMCE,,,Storable Product,ALMCE_BS1503V0
BASCULA BAÑO CECOTEC ECOPOWER,4250,25.0,15.66,,ALMCE,,,Storable Product,ALMCE_4250
CORTAPELOS ROWENTA,TN1410,30.0,21.03,,ALMCE,,,Storable Product,ALMCE_TN1410
AFEITADORA PHILIPS,QP2721,40.0,27.06,,ALMCE,,,Storable Product,ALMCE_QP2721
HORNILLO CORBERÓ  GAS PORTATIL,CHOR200,49.0,27.96,,ALMCE,,,Storable Product,ALMCE_CHOR200
GRIFO CATA CBA/C,2502400,65.0,41.04,,ALMCE,,,Storable Product,ALMCE_2502400
FREGADERO CATA CB 40-40 / D INOX ,2624007,79.0,48.57,,ALMCE,,,Storable Product,ALMCE_2624007
VITRO CORBERÓ 3 FUEGOS,CCVBR6350,175.0,108.48,,ALMCE,,,Storable Product,ALMCE_CCVBR6350
"(BALAY) LAVADORA 9KG, 1200 RPM ""A""",3TS993BP,535.0,324.25,Lavadoras,BSH,,,Storable Product,BSH_3TS993BP
"(BALAY) LAVADORA 9KG, autodosificación 1400 RPM ""A""",3TS395BDS,589.0,495.38,Lavadoras,BSH,,,Storable Product,BSH_3TS395BDS
(SIEMENS) LAVADORA ,WM12N265ES,489.0,401.38,Lavadoras,BSH,,,Storable Product,BSH_WM12N265ES
(SIEMENS) LAVADORA 9KG - 1400RPM ,WG44G2ZAES,569.0,462.48,Lavadoras,BSH,,,Storable Product,BSH_WG44G2ZAES
(BOSCH) LAVADORA ,WUU28T66ES,559.0,425.59,Lavadoras,BSH,,,Storable Product,BSH_WUU28T66ES
