default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
BTB5027,BATIDORA VASO - BECKEN - 1000W,consu,20.91,35.0,Batidoras,BECKEN,True,True,True
KTB5023,BATIDORA VASO - BECKEN - 500W,consu,12.35,20.0,Batidoras,BECKEN,True,True,True
KDW5136SL,(KUNFT) LAVAVAJILLAS INOX 60CM,consu,190.26,299.0,,BECKEN,True,True,True
BAF7528,FREIDORA AIRE 5L - 1500W - NEGRA,consu,40.93,69.0,,BECKEN,True,True,True
KSD9124 WH,(KUNFT) FRIGORÍFICO 1P BAJO ENCIMERA BLANCO,consu,119.41,199.0,Frigoríficos,BECKEN,True,True,True
BC4322WH,"(BECKEN) COMBI NF BLANCO 1,85M",consu,259.86,429.0,,BECKEN,True,True,True
BC4322IX,"(BECKEN) COMBI NF INOX 1,85M",consu,261.84,449.0,,BECKEN,True,True,True
KC9113WH,"(KUNFT) COMBI 1,80M X 55CM BLANCO - CICLICO",consu,167.47,299.0,,BECKEN,True,True,True
KC9134WH,"(KUNFT) FRIGORÍFICO COMBI  1,43M",consu,148.93,245.0,Frigoríficos,BECKEN,True,True,True
BSD9267WH,"(BECKEN) FRIGORÍFICO 1P BLANCO - NF - 1,72",consu,265.0,435.0,Frigoríficos,BECKEN,True,True,True
BCF8338,(BECKEN)ARCON CONGELADOR 418L,consu,282.11,455.0,,BECKEN,True,True,True
KUF9126WH,(KUNFT) CONGELADOR CAJONES VERTICAL 91L,consu,117.25,199.0,,BECKEN,True,True,True
KUF9261WH,"(KUNFT) CONGELADOR 1P - 1,43M",consu,155.98,279.0,,BECKEN,True,True,True
BUF9268WH,(BECKEN) CONGELADOR VERTICAL NO FROST,consu,279.99,459.0,,BECKEN,True,True,True
BECM2493,(BECKEM) CAFETERA EXPRESSO,consu,40.31,69.0,Cafeteras,BECKEN,True,True,True
BT8759,(BECKEN) TOSTADOR 2 RANURAS XL BLANCO,consu,22.09,35.0,,BECKEN,True,True,True
BT4606,(BECKEN) TOSTADOR 2 RANURAS ROJA,consu,15.79,30.0,,BECKEN,True,True,True
BMO4135,(BECKEN) MINI HORNO 30L,consu,56.23,95.0,Hornos,BECKEN,True,True,True
BKS4478,(BECKEN) PESO/BALANZA COCINA CON TAZON ,consu,8.88,19.0,,BECKEN,True,True,True
F8585W,VENTILADOR TECHO BLANCO NEVADA,consu,64.0,99.0,,BECKEN,True,True,True
F8585SN,VENTILADOR TECHO SATINADO NIQUEL NEVADA,consu,64.0,99.0,,BECKEN,True,True,True
NVR-WMFL1280INA-BC,LAVADORA 8KG CON DISPLAY,consu,186.97,309.0,Lavadoras,NEVIR,True,True,True
NVR-WMFL1283INA-SD,LAVADORA 8KG SIN DISPLAY,consu,176.55,299.0,Lavadoras,NEVIR,True,True,True
NVR-5615DDE,"FRIGORÍFICO 2 PUERTAS - 1,43M",consu,145.65,239.0,Frigoríficos,NEVIR,True,True,True
NVR-5607CTNFIDE,FRIGORÍFICO COMBI INOX 2M,consu,321.65,499.0,Frigoríficos,NEVIR,True,True,True
NVR-HEM5-56L,HORNO ELECTRICO 56L,consu,117.95,199.0,Hornos,NEVIR,True,True,True
CEC001,Cafetera Power Espresso 20,consu,0.0,0.0,Cafeteras,UNKNOWN,True,True,True
CEC002,Robot aspirador Conga 1090,consu,0.0,0.0,Aspiradoras,UNKNOWN,True,True,True
CEC003,Freidora sin aceite Cecofry Compact,consu,0.0,0.0,,UNKNOWN,True,True,True
CEC004,Batidora de vaso Power Black Titanium 1800,consu,0.0,0.0,Batidoras,UNKNOWN,True,True,True
CEC005,Plancha de pelo Bamba PerfectCare 10000,consu,0.0,0.0,,UNKNOWN,True,True,True
BSH001,Lavadora Bosch Serie 4 WAN28281ES,consu,0.0,0.0,Lavadoras,UNKNOWN,True,True,True
